desc,note,alpha,rho,n_params,se
all,fixed alpha 0.001,0.001,0.0705299008868262,89.36085106382978,0.01249068148530839
all,fixed alpha 0.005,0.005,0.08523072850177167,315.01659574468084,0.010616832795814426
all,fixed alpha 0.01,0.01,0.08659431899912495,555.2491489361702,0.01001046536148261
all,fixed alpha 0.05,0.05,0.07961514231939927,2208.5555319148934,0.00891093924703358
all,fixed alpha 0.1,0.1,0.07463032890745454,4111.04,0.008739088132330835
all,max rho,0.05548700645707245,0.09955407768915797,1649.169574468085,0.011495784824196402
all,max rho - alpha = 0.001 rho,0.001,-0.029024176802331776,89.36085106382978,0.003694055960634311
all,max rho - alpha = 0.005 rho,0.005,-0.014323349187386309,315.01659574468084,0.0023226103071581957
all,max rho - alpha = 0.01 rho,0.01,-0.012959758690033027,555.2491489361702,0.0026239240833115193
all,max rho - alpha = 0.05 rho,0.05,-0.019938935369758708,2208.5555319148934,0.004564355680578489
all,max rho - alpha = 0.1 rho,0.1,-0.02492374878170345,4111.04,0.005195364911606043
negative,fixed alpha 0.001,0.001,0.06250530746373242,45.51340425531915,0.011090295003376976
negative,fixed alpha 0.005,0.005,0.08217730313828406,159.3495744680851,0.009699511671707432
negative,fixed alpha 0.01,0.01,0.08503812328227552,279.49212765957446,0.009131954622107948
negative,fixed alpha 0.05,0.05,0.07906356415096177,1103.3825531914895,0.008275053803747422
negative,fixed alpha 0.1,0.1,0.07375964270300948,2047.575744680851,0.008163419078613097
negative,max rho,0.08077809498210582,0.09690239994445643,1432.3672340425535,0.009397158265518072
negative,max rho - alpha = 0.001 rho,0.001,-0.034397092480724006,45.51340425531915,0.004111028544611524
negative,max rho - alpha = 0.005 rho,0.005,-0.014725096806172367,159.3495744680851,0.0023819570011603206
negative,max rho - alpha = 0.01 rho,0.01,-0.011864276662180916,279.49212765957446,0.001996152006891839
negative,max rho - alpha = 0.05 rho,0.05,-0.017838835793494656,1103.3825531914895,0.003362831962373517
negative,max rho - alpha = 0.1 rho,0.1,-0.023142757241446942,2047.575744680851,0.003940023077153547
positive,fixed alpha 0.001,0.001,0.05018336599547461,43.84744680851064,0.013319773570695723
positive,fixed alpha 0.005,0.005,0.0686390947428861,155.66702127659576,0.011394881214710726
positive,fixed alpha 0.01,0.01,0.07279903031351626,275.75702127659576,0.010793674175492242
positive,fixed alpha 0.05,0.05,0.07086058492663343,1105.1729787234042,0.009491878980027135
positive,fixed alpha 0.1,0.1,0.06825024061270282,2063.464255319149,0.009162688526152622
positive,max rho,0.12171206747367691,0.09132843667268617,2000.9702127659575,0.012913028561922975
positive,max rho - alpha = 0.001 rho,0.001,-0.04114507067721158,43.84744680851064,0.005065206329341824
positive,max rho - alpha = 0.005 rho,0.005,-0.02268934192980009,155.66702127659576,0.0034123904925510147
positive,max rho - alpha = 0.01 rho,0.01,-0.018529406359169918,275.75702127659576,0.003353796867462008
positive,max rho - alpha = 0.05 rho,0.05,-0.02046785174605276,1105.1729787234042,0.005119971762845846
positive,max rho - alpha = 0.1 rho,0.1,-0.023078196059983357,2063.464255319149,0.005758718921598376
